[2026-02-03 16:26:08] [src/main.c:140 draw_hand] String: red 5, Color: 31, Value: 5
[2026-02-03 16:26:08] [src/main.c:140 draw_hand] String: blue skip, Color: 34, Value: skip
[2026-02-03 16:26:09] [src/main.c:140 draw_hand] String: red 5, Color: 31, Value: 5
[2026-02-03 16:26:09] [src/main.c:140 draw_hand] String: blue skip, Color: 34, Value: skip
[2026-02-03 16:26:10] [src/main.c:140 draw_hand] String: red 5, Color: 31, Value: 5
[2026-02-03 16:26:10] [src/main.c:140 draw_hand] String: blue skip, Color: 34, Value: skip
[2026-02-03 16:26:11] [src/main.c:140 draw_hand] String: red 5, Color: 31, Value: 5
[2026-02-03 16:26:11] [src/main.c:140 draw_hand] String: blue skip, Color: 34, Value: skip
[2026-02-03 16:26:11] [src/main.c:140 draw_hand] String: red 5, Color: 31, Value: 5
[2026-02-03 16:26:11] [src/main.c:140 draw_hand] String: blue skip, Color: 34, Value: skip
[2026-02-03 16:26:12] [src/main.c:140 draw_hand] String: red 5, Color: 31, Value: 5
[2026-02-03 16:26:12] [src/main.c:140 draw_hand] String: blue skip, Color: 34, Value: skip
[2026-02-03 16:26:12] [src/main.c:140 draw_hand] String: red 5, Color: 31, Value: 5
[2026-02-03 16:26:12] [src/main.c:140 draw_hand] String: blue skip, Color: 34, Value: skip
[2026-02-03 16:28:34] [src/main.c:140 draw_hand] String: red 5, Color: 31, Value: 5
[2026-02-03 16:28:34] [src/main.c:140 draw_hand] String: blue skip, Color: 34, Value: skip
[2026-02-03 16:29:35] [src/main.c:146 draw_hand] String: red 5, Color: 31, Value: 5
[2026-02-03 16:29:35] [src/main.c:146 draw_hand] String: blue skip, Color: 34, Value: skip
[2026-02-03 16:29:36] [src/main.c:146 draw_hand] String: red 5, Color: 31, Value: 5
[2026-02-03 16:29:36] [src/main.c:146 draw_hand] String: blue skip, Color: 34, Value: skip
[2026-02-03 16:29:57] [src/main.c:146 draw_hand] String: red 5, Color: 31, Value: 5
[2026-02-03 16:29:57] [src/main.c:146 draw_hand] String: blue skip, Color: 34, Value: skip
[2026-02-03 16:29:59] [src/main.c:146 draw_hand] String: red 5, Color: 31, Value: 5
[2026-02-03 16:29:59] [src/main.c:146 draw_hand] String: blue skip, Color: 34, Value: skip
[2026-02-03 16:29:59] [src/main.c:146 draw_hand] String: red 5, Color: 31, Value: 5
[2026-02-03 16:29:59] [src/main.c:146 draw_hand] String: blue skip, Color: 34, Value: skip
[2026-02-03 16:29:59] [src/main.c:146 draw_hand] String: red 5, Color: 31, Value: 5
[2026-02-03 16:29:59] [src/main.c:146 draw_hand] String: blue skip, Color: 34, Value: skip
[2026-02-03 16:30:54] [src/main.c:151 draw_hand] String: red 5, Color: 31, Value: 5
[2026-02-03 16:30:54] [src/main.c:151 draw_hand] String: blue skip, Color: 34, Value: skip
[2026-02-03 16:31:32] [src/main.c:152 draw_hand] String: red 5, Color: 31, Value: 5
[2026-02-03 16:31:32] [src/main.c:152 draw_hand] String: blue skip, Color: 34, Value: skip
[2026-02-03 16:31:37] [src/main.c:152 draw_hand] String: red 5, Color: 31, Value: 5
[2026-02-03 16:31:37] [src/main.c:152 draw_hand] String: blue skip, Color: 34, Value: skip
[2026-02-03 16:32:09] [src/main.c:152 draw_hand] String: red 5, Color: 31, Value: 5
[2026-02-03 16:32:09] [src/main.c:152 draw_hand] String: blue skip, Color: 34, Value: skip
[2026-02-03 16:37:02] [src/main.c:152 draw_hand] String: red 5, Color: 31, Value: 5
[2026-02-03 16:37:02] [src/main.c:152 draw_hand] String: blue skip, Color: 34, Value: skip
[2026-02-03 16:37:38] [src/main.c:152 draw_hand] String: red 5, Color: 31, Value: 5
[2026-02-03 16:37:38] [src/main.c:152 draw_hand] String: blue skip, Color: 34, Value: skip
[2026-02-03 16:37:39] [src/main.c:152 draw_hand] String: red 5, Color: 31, Value: 5
[2026-02-03 16:37:39] [src/main.c:152 draw_hand] String: blue skip, Color: 34, Value: skip
[2026-02-03 16:38:53] [src/main.c:152 draw_hand] String: red 5, Color: 196, Value: 5
[2026-02-03 16:38:53] [src/main.c:152 draw_hand] String: blue skip, Color: 20, Value: skip
[2026-02-03 16:45:50] [src/main.c:152 draw_hand] String: red 5, Color: 196, Value: 5
[2026-02-03 16:45:50] [src/main.c:152 draw_hand] String: blue skip, Color: 20, Value: skip
[2026-02-03 16:47:22] [src/main.c:162 draw_hand] String: red 5, Color: 196, Value: 5
[2026-02-03 16:47:22] [src/main.c:162 draw_hand] String: blue skip, Color: 20, Value: skip
[2026-02-03 16:47:27] [src/main.c:162 draw_hand] String: red 5, Color: 196, Value: 5
[2026-02-03 16:47:27] [src/main.c:162 draw_hand] String: blue skip, Color: 20, Value: skip
[2026-02-03 16:48:26] [src/main.c:162 draw_hand] String: red 5, Color: 196, Value: 5
